Model,Technique,Column,Accuracy,Std_Dev,Min,Max,Total_Correct,Partial_Correct,Total_Wrong
Grok,FewShot,Grok_FewShot,0.5409999999999999,0.3219558285783246,0.0,0.8,0,77,23
GPT,Baseline,GPT_Baseline,0.47100000000000003,0.3574022434685653,0.0,0.8,0,66,34
Perplexity,FewShot,Perplexity_FewShot,0.29,0.3732196796699355,0.0,1.0,13,29,58
GPT,CoT,GPT_CoT,0.096,0.26127890589687236,0.0,0.8,0,12,88
Perplexity,ReACT,Perplexity_ReACT,0.057,0.18762470600384773,0.0,0.8,0,9,91
Perplexity,CoT,Perplexity_CoT,0.053,0.1961523835586954,0.0,0.8,0,7,93
Grok,Baseline,Grok_Baseline,0.031,0.1397653155627083,0.0,0.8,0,5,95
Grok,CoT,Grok_CoT,0.029000000000000005,0.14515404565390852,0.0,0.8,0,4,96
GPT,ReACT,GPT_ReACT,0.016,0.11256423530903178,0.0,0.8,0,2,98
GPT,FewShot,GPT_FewShot,0.016,0.11256423530903177,0.0,0.8,0,2,98
Grok,ReACT,Grok_ReACT,0.013000000000000001,0.09391055275735478,0.0,0.8,0,2,98
Perplexity,Baseline,Perplexity_Baseline,0.005,0.049999999999999996,0.0,0.5,0,1,99
