question_id,ground_truth,GPT_Baseline,Grok_Baseline,Perplexity_Baseline,GPT_FewShot,Grok_FewShot,Perplexity_FewShot,GPT_CoT,Grok_CoT,Perplexity_CoT,GPT_ReACT,Grok_ReACT,Perplexity_ReACT
1,38,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.8
2,55,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0
3,56,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0
4,12,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0
5,Yes,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0
6,x = 4,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,50,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0
8,60,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0
9,27,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0
10,8,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0
11,5,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.8,0.8,0.0,0.8,0.0
12,x = 2 or x = 3,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,128,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,10π or approximately 31.42,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,5,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0
16,Yes,0.8,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,True,0.8,0.0,0.0,0.8,0.8,0.8,0.0,0.0,0.8,0.0,0.0,0.0
18,True,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.0,0.0
19,False,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Yes,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,No,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Yes,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0
23,No (or unknown),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Yes,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0
25,10,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,This is paradoxical - neither works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Yes,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,No - it's a paradox,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,No,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0
30,"A is a Knight, B is a Knave",0.5,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,cold,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"Both (noun primarily, verb in context)",0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Having more than one possible meaning,0.5,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"joyful, cheerful, delighted, or similar",0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,buried,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Dealing with things in a practical way,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Both (increasingly singular in modern usage),0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Imply: suggest; Infer: deduce from context,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
39,"A phrase meaning something different from literal words. E.g., 'raining cats and dogs'",0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"Technically no (unique = one of a kind), but used that way colloquially",0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Incomplete: missing parts; Unfinished: process not yet done,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"Both; prescriptive = rules, descriptive = how people use it",0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Language shapes thought; the words we have affect how we think,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0
44,Yes. Example: 'lead' (metal) and 'lead' (guide),0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,hello,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,5,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.8,0.8,0.0,0.0,0.0
48,True,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.8
50,2,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.8
51,HELLO,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0 1 2 (on separate lines),0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
53,1,0.8,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,yes,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,"[2, 4, 6]",0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,25,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,3,0.8,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0
58,Handle errors/exceptions gracefully,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
59,Paris,0.8,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
