id,category,difficulty,question,ground_truth_answer
MATH_001,Mathematics,easy,What is 15 + 23?,38
MATH_002,Mathematics,easy,What is 100 - 45?,55
MATH_003,Mathematics,easy,What is 7 × 8?,56
MATH_004,Mathematics,easy,What is 144 ÷ 12?,12
MATH_005,Mathematics,easy,Is 17 a prime number?,Yes
MATH_006,Mathematics,medium,Solve: 2x + 5 = 13,x = 4
MATH_007,Mathematics,medium,What is 25% of 200?,50
MATH_008,Mathematics,medium,What is the area of a rectangle with width 5 and length 12?,60
MATH_009,Mathematics,medium,What is 3³?,27
MATH_010,Mathematics,medium,What is √64?,8
MATH_011,Mathematics,hard,A train travels 300 km at 60 km/h. How many hours?,5
MATH_012,Mathematics,hard,Solve: x² - 5x + 6 = 0,x = 2 or x = 3
MATH_013,Mathematics,hard,"What is the 7th number in sequence: 2, 4, 8, 16, ...?",128
MATH_014,Mathematics,hard,"If a circle has radius 5, what is its circumference?",10π or approximately 31.42
MATH_015,Mathematics,hard,What is log₂(32)?,5
LOGIC_001,Logic & Reasoning,easy,All dogs are animals. Rover is a dog. Is Rover an animal?,Yes
LOGIC_002,Logic & Reasoning,easy,"If A is true and B is true, what is A AND B?",True
LOGIC_003,Logic & Reasoning,easy,"If A is false and B is true, what is A OR B?",True
LOGIC_004,Logic & Reasoning,easy,What is NOT(True)?,False
LOGIC_005,Logic & Reasoning,easy,"If it rains, the grass gets wet. It rained. Did the grass get wet?",Yes
LOGIC_006,Logic & Reasoning,medium,No cats are dogs. Fluffy is a cat. Is Fluffy a dog?,No
LOGIC_007,Logic & Reasoning,medium,Either A or B is true (but not both). A is false. Is B true?,Yes
LOGIC_008,Logic & Reasoning,medium,"If the key fits, the lock opens. The lock is closed. Is the key fitting?",No (or unknown)
LOGIC_009,Logic & Reasoning,medium,All A are B. All B are C. Are all A also C?,Yes
LOGIC_010,Logic & Reasoning,medium,"In a group of 100 people, 60 like coffee, 50 like tea. At least how many like both?",10
LOGIC_011,Logic & Reasoning,hard,"Knights always tell truth, Knaves always lie. You meet someone. They say 'I am a Knave'. What are they?",This is paradoxical - neither works
LOGIC_012,Logic & Reasoning,hard,"There are 3 boxes. One has gold, two have rocks. You pick box A. The host opens box B (rock). Should you switch to box C?",Yes
LOGIC_013,Logic & Reasoning,hard,A statement is self-referentially true if it accurately describes itself. Is 'This statement is false' self-referentially true?,No - it's a paradox
