Domain,Model,Technique,Accuracy
Arithmetic,GPT,Baseline,0.0
Arithmetic,GPT,FewShot,0.0
Arithmetic,GPT,CoT,0.0
Arithmetic,GPT,ReACT,0.0
Arithmetic,Grok,Baseline,0.0
Arithmetic,Grok,FewShot,0.0
Arithmetic,Grok,CoT,0.0
Arithmetic,Grok,ReACT,0.0
Arithmetic,Perplexity,Baseline,0.0
Arithmetic,Perplexity,FewShot,0.0
Arithmetic,Perplexity,CoT,0.0
Arithmetic,Perplexity,ReACT,0.0
Logic,GPT,Baseline,0.0
Logic,GPT,FewShot,0.0
Logic,GPT,CoT,0.0
Logic,GPT,ReACT,0.0
Logic,Grok,Baseline,0.0
Logic,Grok,FewShot,0.0
Logic,Grok,CoT,0.0
Logic,Grok,ReACT,0.0
Logic,Perplexity,Baseline,0.0
Logic,Perplexity,FewShot,0.0
Logic,Perplexity,CoT,0.0
Logic,Perplexity,ReACT,0.0
Linguistics,GPT,Baseline,0.0
Linguistics,GPT,FewShot,0.0
Linguistics,GPT,CoT,0.0
Linguistics,GPT,ReACT,0.0
Linguistics,Grok,Baseline,0.0
Linguistics,Grok,FewShot,0.0
Linguistics,Grok,CoT,0.0
Linguistics,Grok,ReACT,0.0
Linguistics,Perplexity,Baseline,0.0
Linguistics,Perplexity,FewShot,0.0
Linguistics,Perplexity,CoT,0.0
Linguistics,Perplexity,ReACT,0.0
Programming,GPT,Baseline,0.0
Programming,GPT,FewShot,0.0
Programming,GPT,CoT,0.0
Programming,GPT,ReACT,0.0
Programming,Grok,Baseline,0.0
Programming,Grok,FewShot,0.0
Programming,Grok,CoT,0.0
Programming,Grok,ReACT,0.0
Programming,Perplexity,Baseline,0.0
Programming,Perplexity,FewShot,0.0
Programming,Perplexity,CoT,0.0
Programming,Perplexity,ReACT,0.0
General_Knowledge,GPT,Baseline,0.0
General_Knowledge,GPT,FewShot,0.0
General_Knowledge,GPT,CoT,0.0
General_Knowledge,GPT,ReACT,0.0
General_Knowledge,Grok,Baseline,0.0
General_Knowledge,Grok,FewShot,0.0
General_Knowledge,Grok,CoT,0.0
General_Knowledge,Grok,ReACT,0.0
General_Knowledge,Perplexity,Baseline,0.0
General_Knowledge,Perplexity,FewShot,0.0
General_Knowledge,Perplexity,CoT,0.0
General_Knowledge,Perplexity,ReACT,0.0
Design_Lateral,GPT,Baseline,0.0
Design_Lateral,GPT,FewShot,0.0
Design_Lateral,GPT,CoT,0.0
Design_Lateral,GPT,ReACT,0.0
Design_Lateral,Grok,Baseline,0.0
Design_Lateral,Grok,FewShot,0.0
Design_Lateral,Grok,CoT,0.0
Design_Lateral,Grok,ReACT,0.0
Design_Lateral,Perplexity,Baseline,0.0
Design_Lateral,Perplexity,FewShot,0.0
Design_Lateral,Perplexity,CoT,0.0
Design_Lateral,Perplexity,ReACT,0.0
Applied_Integration,GPT,Baseline,0.0
Applied_Integration,GPT,FewShot,0.0
Applied_Integration,GPT,CoT,0.0
Applied_Integration,GPT,ReACT,0.0
Applied_Integration,Grok,Baseline,0.0
Applied_Integration,Grok,FewShot,0.0
Applied_Integration,Grok,CoT,0.0
Applied_Integration,Grok,ReACT,0.0
Applied_Integration,Perplexity,Baseline,0.0
Applied_Integration,Perplexity,FewShot,0.0
Applied_Integration,Perplexity,CoT,0.0
Applied_Integration,Perplexity,ReACT,0.0
